mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.20795178413391113,0.025213395294198512,0.0012843608856201172,0.00015839405486852795,relu,0.001,"(50,)",constant,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'max_iter': 500}",0.9720670391061452,0.9832402234636871,0.9776536312849162,0.9776536312849163,0.004561433413004051,1
0.1686383088429769,0.023048675906970986,0.0009779930114746094,0.00021229725300435514,relu,0.001,"(50,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9720670391061452,0.9832402234636871,0.9776536312849162,0.9776536312849163,0.004561433413004051,1
0.21280145645141602,0.025877838003887727,0.001881996790568034,0.0008682616840227648,relu,0.001,"(100,)",constant,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 500}",0.9720670391061452,0.9832402234636871,0.9720670391061452,0.9757914338919926,0.005267089617776884,27
0.1980446974436442,0.011192356306834994,0.0010753472646077473,0.0002752256776713573,relu,0.001,"(100,)",adaptive,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9720670391061452,0.9832402234636871,0.9720670391061452,0.9757914338919926,0.005267089617776884,27
0.5044623215993246,0.11315721307819812,0.0008966922760009766,0.00011903479839193439,relu,0.001,"(100, 50)",constant,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'constant', 'max_iter': 500}",0.9720670391061452,0.9888268156424581,0.9664804469273743,0.9757914338919926,0.009495380844679298,27
0.5131986141204834,0.09489014721550156,0.0012747446695963542,0.00011689763401870623,relu,0.001,"(100, 50)",adaptive,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9720670391061452,0.9888268156424581,0.9664804469273743,0.9757914338919926,0.009495380844679298,27
0.6259112358093262,0.03605252102145001,0.0012217362721761067,0.00032374991817922224,relu,0.001,"(100, 100)",constant,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 500}",0.9776536312849162,0.9832402234636871,0.9664804469273743,0.9757914338919926,0.0069677046308639235,27
0.6654338041941324,0.10407548630147515,0.002194563547770182,0.001493076884082946,relu,0.001,"(100, 100)",adaptive,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9776536312849162,0.9832402234636871,0.9664804469273743,0.9757914338919926,0.0069677046308639235,27
0.5844039916992188,0.08562815234516544,0.0020560423533121743,0.0010876212969770842,relu,0.001,"(150, 100, 50)",constant,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (150, 100, 50), 'learning_rate': 'constant', 'max_iter': 500}",0.9776536312849162,0.9888268156424581,0.9664804469273743,0.9776536312849163,0.009122866826008103,1
0.5721999804178873,0.06010045860165214,0.0012192726135253906,0.00036472001126047646,relu,0.001,"(150, 100, 50)",adaptive,500,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (150, 100, 50), 'learning_rate': 'adaptive', 'max_iter': 500}",0.9776536312849162,0.9888268156424581,0.9664804469273743,0.9776536312849163,0.009122866826008103,1
